Nama PTTA,Posisi Sayap,Kemiringan Sayap,Bentuk Sayap,Arah Sayap,Jenis Mesin,Jumlah Mesin,Posisi Mesin,Bentuk Badan,Hidung Badan,Tengah Badan,Posisi Ekor,Jumlah Ekor,Bentuk Ekor,Persenjataan,Warna
Alenia C-27J Spartan,atas,tidak ada kemiringan,lurus,lancip rata,baling-baling,dua,depan dan belakang,tebal,bulat,tabung,diatas badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Shaanxi KJ-500,atas,tidak ada kemiringan,lurus,lancip rata,baling-baling,empat,depan dan belakang,tebal,bulat,tabung,diatas badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,loreng
Airbus A400M Atlas,atas,negatif,lurus,lancip rata,baling-baling,empat,depan dan belakang,tebal,bulat,tabung,diatas ekor,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Boeing E-3 Sentry,tengah,tidak ada kemiringan,kebelakang,lancip kebelakang,turbo,empat,depan dan belakang,bulat,bulat,tabung,ditengah badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Beriev A-50,atas,negatif,kebelakang,lancip kebelakang,turbo,empat,depan dan belakang,tebal,bulat,tabung,diatas ekor,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,loreng
Boeing 737 AEW&C,tengah,tidak ada kemiringan,kebelakang,lancip kebelakang,turbo,dua,depan dan belakang,bulat,bulat,tabung,ditengah badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
DRDO AEW&CS,bawah,tidak ada kemiringan,kebelakang,lancip kebelakang,turbo,dua,depan dan belakang,bulat,runcing,tabung,ditengah badan,tiga,lancip rata dan ujung kotak,tidak bersenjata,polos
Boeing P-8 Poseidon,tengah,tidak ada kemiringan,kebelakang,lancip kebelakang,turbo,dua,depan dan belakang,bulat,runcing,tabung,ditengah badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Saab 340 AEW&C,bawah,positif,lurus,lancip tidak rata,baling-baling,dua,depan dan belakang,bulat,runcing,tabung,ditengah badan,tiga,meruncing kebelakang dan ujung kotak,tidak bersenjata,polos
Sukhoi SU-35,atas,tidak ada kemiringan,semi delta,kebelakang dan lancip,turbo,dua,belakang,bulat,runcing,menonjol,diatas badan,empat,kebelakang dan ujung tumpul,bersenjata,loreng
